,title,genre_list,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,ScienceFiction,TVMovie,Thriller,War,Western,vote_average,popularity,vote_count,revenue,budget,release_date,profit
1191,The Final Destination,"Horror,Mystery",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5.6,36.882,2075,186167139,40000000,2009-08-26,146167139
1192,Shutter Island,"Drama,Thriller,Mystery",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,8.2,36.882,16510,294804195,80000000,2010-02-14,214804195
1193,I Spit on Your Grave 2,"Thriller,Horror,Crime",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.3,36.836,808,678604,0,2013-08-25,678604
1194,Mandy,"Action,Thriller,Horror,Fantasy,Mystery",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,6.2,36.81,1027,1214525,6000000,2018-09-13,-4785475
1195,Drag Me to Hell,"Horror,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.3,36.783,2379,90810892,30000000,2009-03-15,60810892
1196,Rush Hour 3,"Action,Comedy,Crime",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,36.777,1985,258022233,140000000,2007-08-08,118022233
1197,The Hard Way,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,36.755,76,0,0,2019-03-05,0
1198,"Remember Me, Mommy?",Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.4,36.754,12,0,0,2020-03-29,0
1199,The Witch,"Horror,Drama,Mystery,History",0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,6.8,36.749,4129,40423945,3500000,2015-11-11,36923945
1200,I Want You,"Drama,Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.2,36.749,1087,0,0,2012-06-22,0
1201,Aquaman 2,"Adventure,Action,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,36.736999999999995,0,0,0,2022-12-14,0
1202,The Hunger Games: Catching Fire,"Adventure,Action,ScienceFiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.4,36.724000000000004,13191,847423452,130000000,2013-11-15,717423452
1203,Attack on Titan II: End of the World,"Horror,ScienceFiction,Action,Fantasy,Drama",1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,5.4,36.683,150,0,0,2015-09-01,0
1204,Hansel & Gretel: Witch Hunters,"Fantasy,Horror,Action",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6.0,36.632,5244,226349749,50000000,2013-01-17,176349749
1205,The Fault in Our Stars,"Romance,Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.6,36.584,8885,307166834,12000000,2014-05-16,295166834
1206,Never Back Down: No Surrender,"Drama,Action",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8,36.552,279,0,0,2016-06-07,0
1207,Arrival,"Drama,ScienceFiction,Mystery",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,7.5,36.531,12866,203388186,47000000,2016-11-10,156388186
1208,Hitman: Agent 47,"Action,Crime,Thriller",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.8,36.527,2139,81967450,35000000,2015-08-20,46967450
1209,Up,"Animation,Comedy,Family,Adventure",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.9,36.512,14885,735099082,175000000,2009-05-28,560099082
1210,Rogue One: A Star Wars Story,"Action,Adventure,ScienceFiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.5,36.5,11395,1056057273,200000000,2016-12-14,856057273
1211,Animal World,"Drama,Action,Adventure,Thriller,Mystery,Fantasy",1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,7.2,36.491,87,0,125000,2018-06-29,-125000
1212,The Mummy,"Adventure,Action,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8,36.49,6223,415885488,80000000,1999-04-16,335885488
1213,Seed of Chucky,"Horror,Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.3,36.461999999999996,883,24829644,12000000,2004-11-11,12829644
1214,Snow White and the Seven Dwarfs,"Fantasy,Animation,Family",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.1,36.443000000000005,5324,184925486,1488423,1937-12-21,183437063
1215,Shaft,"Action,Crime",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,36.438,1005,21360215,30000000,2019-06-14,-8639785
1216,Aurora Teagarden Mysteries: Reunited and It Feels So Deadly,"TVMovie,Mystery",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,36.429,0,0,0,2020-10-18,0
1217,Inglourious Basterds,"Drama,Action,Thriller,War",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8.2,36.416,15529,321455689,70000000,2009-08-18,251455689
1218,Se7en,"Crime,Mystery,Thriller",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8.3,36.405,13906,327311859,33000000,1995-09-22,294311859
1219,DC Showcase: Adam Strange,"Animation,Action,ScienceFiction",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.7,36.4,9,0,0,2020-05-05,0
1220,Paradise Beach,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,36.356,82,0,0,2019-02-20,0
1221,Mobile Suit Gundam Narrative,"Animation,ScienceFiction,Action",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.3,36.288000000000004,4,0,0,2018-11-30,0
1222,American Sniper,"War,Action",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.4,36.274,9579,542307423,58800000,2014-12-11,483507423
1223,Mowgli: Legend of the Jungle,"Adventure,Drama",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.6,36.272,1891,0,175000000,2018-11-25,-175000000
1224,Shrek the Third,"Fantasy,Adventure,Animation,Comedy,Family",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.2,36.251999999999995,6195,798958165,160000000,2007-05-17,638958165
1225,Fantastic Four,"Action,Adventure,ScienceFiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.4,36.231,4483,167977596,120000000,2015-08-05,47977596
1226,District 9,ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.4,36.199,6666,210819611,30000000,2009-08-05,180819611
1227,Sentadas en el umbral,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,36.178000000000004,2,0,0,2020-08-20,0
1228,Sex with Love,"Comedy,Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,36.146,29,0,0,2003-03-27,0
1229,Curiosa,"History,Drama",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.9,36.116,77,0,0,2019-04-03,0
1230,Barbie as The Princess & the Pauper,"Animation,Family,Comedy",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.4,36.111999999999995,810,0,0,2004-09-28,0
1231,Watchmen,"Action,Mystery,ScienceFiction",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.3,36.097,6321,185258983,130000000,2009-03-05,55258983
1232,On Your Wedding Day,Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.1,36.079,37,20895905,0,2018-08-22,20895905
1233,Wolf Warrior 2,"War,Action,Drama",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.6,36.051,115,870322670,29700000,2017-07-27,840622670
1234,Child's Play,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.1,36.047,1141,44902237,10000000,2019-06-19,34902237
1235,Final Destination 5,"Horror,Mystery",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.0,36.039,2175,157887643,47000000,2011-08-12,110887643
1236,Psycho-Pass: The Movie,"ScienceFiction,Animation,Action",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.1,36.023,120,0,0,2015-01-09,0
1237,The Princess and the Frog,"Romance,Family,Animation",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.1,36.022,3666,270997378,105000000,2009-12-08,165997378
1238,All the Devil's Men,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,35.99,78,0,0,2018-05-12,0
1239,The Expendables 3,"Action,Adventure,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.2,35.961,3532,206172544,90000000,2014-08-04,116172544
1240,Cloudy with a Chance of Meatballs,"Animation,Comedy,Family",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.6,35.952,4105,242988466,100000000,2009-09-17,142988466
1241,Deported,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,35.937,4,0,0,2020-03-01,0
1242,Home Alone 2: Lost in New York,"Comedy,Family,Adventure,Crime",0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.6,35.89,6365,358994850,18000000,1992-11-19,340994850
1243,Gretel & Hansel,"Horror,Fantasy,Thriller",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,6.2,35.842,685,0,0,2020-01-30,0
